Input,Analysis,Overall Valence,Overall Arousal
Pretty good.,"{'happy': [6.47, 4.43, ['a little good'], 1]}",6.47,4.43
Bob feels pleased; since it was equally likely he'd get $60 or $25; so he feels lucky. He's a tiny bit disappointed that he didn't get $100; but didn't expect it very much.,"{'fortunate': [8.17, 6.53, ['lucky'], 1], 'disappointed': [2.39, 4.92, ['disappointed'], 1], 'happy': [8.01, 5.97, ['pleased'], 1]}",6.19,6.53
I think Chris is excited he won 60 dollars.,"{'excited': [7.5, 7.67, ['excited'], 1]}",7.5,7.67
He feels good; he is satisfied with his $60; he would have liked more but is not disappointed.,"{'content': [7.94, 4.95, ['satisfied'], 1], 'disappointed': [5.14, 7.67, ['not disappointed'], 1], 'happy': [7.47, 5.43, ['good'], 1]}",6.85,7.663
Tom probably feels excited and happy. $100 was the best possible outcome; and also the one with the smallest chance; so he may also be surprised.,"{'excited': [7.5, 7.67, ['excited'], 1], 'surprised': [7.47, 7.47, ['surprised'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",7.73,7.67
He felt good; because that is the hardest one to get. It has a small space; and largest award. So now he will get the best award and be happier. He won the best deal out of all.,"{'happy': [7.47, 5.43, ['good'], 1]}",7.47,5.43
Bob feels very happy. He won the highest amount of money with the lowest probability of being landed on.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
Jake is jumping with joy. Jake is smiling and is anxiously awaiting his next spin.,"{'excited': [8.66, 6.92, ['jumping'], 1], 'happy': [8.6, 7.22, ['joy'], 1]}",8.63,7.22
Tom feels great! Although no matter where he landed he would've earned money; the $100 makes him feel amazing.,"{'great': [8.75, 7.25, ['great', 'amazing'], 2]}",8.75,8.5
James must be ecstatic. He won the largest prize offered by the wheel; and the one with the smallest probability; at that.,"{'excited': [8.66, 6.92, ['ecstatic'], 1]}",8.66,6.92
Weeeeeeeee! I think Alex is ecstatic right now. Not only did he win the most amount of money on the wheel but the $100 portion was the smallest; so the least probable to hit. I think hes very excited and very happy!,"{'excited': [8.58, 7.8, ['ecstatic', 'very excited'], 2], 'happy': [9.22, 7.49, ['very happy'], 1]}",8.8,8.67
He is very happy.  He just won the maximum prize of  $100; and it wasn't that likely he would have.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
He is excited and surprised! He is jumping up and down with excitement,"{'excited': [7.89, 7.42, ['excited', 'jumping', 'excitement'], 3], 'surprised': [7.47, 7.47, ['surprised'], 1], 'sad': [2.13, 5.07, ['down'], 1]}",6.66,7.67
I think he feels extremely surprised and happy. He got the most money he could and landed on the spot with the lowest probability.,"{'surprised': [8.47, 8.47, ['very surprised'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",8.34,8.469999999999999
One in three paid off this time! Woohoo!,{},0,0
He is very very excited to have won the best prize; and having been such a small chance he would have won it.   There was a more than 50% chance he would win only 25 so I bet that feels great.,"{'great': [8.5, 8.5, ['great'], 1], 'excited': [8.5, 8.67, ['very excited'], 1]}",8.5,8.67
David should feel great. While he won the most he could. He bear the odds since the $100 portion was the smallest on the wheel and his odds were most like to have won $25 and he got much more then that.,"{'great': [8.5, 8.5, ['great'], 1]}",8.5,8.5
\nHe is very happy because he won the most amount of money that he could.\n\n,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
he will be very surprised and so happy.,"{'surprised': [8.47, 8.47, ['very surprised'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",8.34,8.469999999999999
James has to be pleased with his spin.  His spin resulted in the most amount of money possible even though it meant landing on the smallest section of the wheel.,"{'happy': [8.01, 5.97, ['pleased'], 1]}",8.01,5.97
Jake feels amazing that he won the largest amount & wants to win more!,"{'great': [9.0, 6.0, ['amazing'], 1]}",9.0,6.0
wow i won 100 bucks i cant believe it,{},0,0
He is excited because he won the maximum prize.  Especially since it was the smallest portion of the board.,"{'excited': [7.5, 7.67, ['excited'], 1]}",7.5,7.67
Wow! He would feel incredibly lucky!,"{'fortunate': [8.17, 6.53, ['lucky'], 1]}",8.17,6.53
He's extremely excited and surprised that he won the largest amount on the wheel.,"{'excited': [8.5, 8.67, ['very excited'], 1], 'surprised': [7.47, 7.47, ['surprised'], 1]}",7.99,8.67
Scott is extremely happy about winning $100.  He'll cheer wildly and feels like this is his lucky day.,"{'fortunate': [8.17, 6.53, ['lucky'], 1], 'happy': [8.66, 6.81, ['very happy', 'cheer'], 2]}",8.5,7.49
Very lucky and happy since it was the smallest section,"{'happy': [8.22, 6.49, ['happy'], 1], 'fortunate': [9.17, 7.53, ['very lucky'], 1]}",8.7,7.53
Kind of disappointed,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1]}",3.39,5.92
He probably felt glad about getting some money; but disappointed that it wasn't at least $45. There was a higher chance of him winning $25; but it was still very possible for him to win $45.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'fortunate': [7.09, 5.16, ['glad'], 1]}",4.74,5.16
John is still happy at least he won something.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
He feels diappointed. Any potion but the one he got would have been better.,{},0,0
Jacob is happy that he has at least won some money. He is upset that he couldn't win more.,"{'sad': [2.0, 5.86, ['upset'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.11,6.49
Wish I had won 80.  Cant buy anything with 25 BUCKS? WELL Going to buy a pizza.,"{'fortunate': [7.09, 5.16, ['wish'], 1]}",7.09,5.16
disappointed it wasnt a larger amount,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
Happy that he won a prize,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Bob is disappointed as the largest section of the wheel would have been $80 to win and the $25 section which he won was the smallest.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
Great but also maybe hoping it was higher,"{'great': [8.5, 8.5, ['great'], 1], 'inspired': [7.1, 5.78, ['hoping'], 1]}",7.8,8.5
He's disappointed. He thought he'd get 45 or 80 dollars. But he's ok with just 25.,"{'content': [6.06, 4.7, ['ok'], 1], 'disappointed': [2.39, 4.92, ['disappointed'], 1]}",4.23,4.92
happy he won something. he was dissapointed it was the smallest prize.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Jake is happy to have won some money. He can't help thinking; though; that he missed out on $80; which he actually had a slightly larger chance of winning. He hopes he wins $80 on his next spin and knows his odds are pretty good.,"{'happy': [7.34, 5.46, ['happy', 'a little good'], 2]}",7.34,6.49
Disappointed. The chances of winning the most money was even with the others so the odds were in his favor but he still lost.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
Frank is disappointed he didn't win a larger amount since the odds where in favor of a larger winning.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
Mike is disappointed.  His spin landed on the smallest section of the wheel; and he was only a few inches from almost doubling his money.  ,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
Steve got the lowest prize. Drats! Oh well; 25$ is better than nothing. ,{},0,0
Josh was probably disappointed he won the lowest amount.  Each section had about a 33% chance and he probably figured it would at least land one of the other two instead.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
david is happy.\ndavid is excited.\nhe wishes it was $80 or even $45.,"{'fortunate': [7.09, 5.16, ['wishes'], 1]}",7.09,5.16
He felt okay.,"{'content': [6.06, 4.7, ['okay'], 1]}",6.06,4.7
Though it is the least amount the player will be happy to have won this. As 'something' is better than 'nothing'.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Pretty disappointed. He had a good chance of winning either $45 or $80; but still ended up with only $25.,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1], 'happy': [7.47, 5.43, ['good'], 1]}",5.43,5.92
Because it stopped so close to 80 he probably bummed out having not won the 80 dollars. He probably also is bummed out not to have more than 25; but probably is glad regardless.,"{'fortunate': [7.09, 5.16, ['glad'], 1], 'sad': [2.39, 4.78, ['bummed'], 2]}",3.96,5.16
He is excited to win anything for free; especially given the other amounts gradually increased and were mnot huge amounts for him to feel dissapoined about,"{'excited': [7.5, 7.67, ['excited'], 1]}",7.5,7.67
I think he feels disappointed.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
not very good as he got the lowest amount,"{'happy': [4.61, 2.57, ['not very good'], 1]}",4.61,2.569
25 is not a bad win.  I'm starting to feel board watching the game. ,"{'unfortunate': [5.25, 7.25, ['not bad'], 1]}",5.25,7.25
Disappointed,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
He's extremely pleased he won; even though it's small. The odds seemed quite fair. He looks forward to going to lunch.,"{'happy': [9.01, 6.97, ['very pleased'], 1]}",9.01,6.97
He is disappointed that he hit this slice for the $25 when the odds were the same to at least hit the $45 and greater for the $80.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
Bob is not too excited that he just won $25. He leaves disappointed. ,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'excited': [4.6, 4.77, ['not very excited'], 1]}",3.5,4.92
He feels a little happy probably not that excited to win the minimum but happy that he won something. He may feel slightly surprised that he didn't win more money. He is probably a bit sad and disappointed that he didn't win more money. ,"{'sad': [1.61, 4.13, ['sad'], 1], 'disappointed': [2.39, 4.92, ['disappointed'], 1], 'excited': [3.6, 3.77, ['not excited'], 1], 'surprised': [6.47, 6.47, ['a little surprised'], 1], 'happy': [7.72, 5.99, ['a little happy', 'happy'], 2]}",4.92,6.49
Upset.,"{'sad': [2.0, 5.86, ['upset'], 1]}",2.0,5.86
I think he probably feels pretty good!,"{'happy': [6.47, 4.43, ['a little good'], 1]}",6.47,4.43
I think Josh is reasonably happy and satisfied with his winnings; particularly because he received the second highest amount.,"{'content': [7.94, 4.95, ['satisfied'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",8.08,6.49
happy; since he won the middle amount.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
He is probably glad he won the $45 amount but wishes he had won the $80.,"{'fortunate': [7.09, 5.16, ['glad', 'wishes'], 2]}",7.09,5.16
Frank feels good.  He could of won $25..but won $45 instead.  He's pretty happy.,"{'happy': [7.34, 5.46, ['good', 'a little happy'], 2]}",7.34,5.49
Like he could have won more money,{},0,0
He feels a little disappointed since it was so close to winning the 80 dollars which he mostly expected because it took up half of the wheel.,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1]}",3.39,5.92
I think he felt somewhat disappointed. The chance to win $80 was large relative to the other spots on the wheel; yet that wasn't what he ended up with.,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1]}",3.39,5.92
He felt okay but would have rather the higher amount.,"{'content': [6.06, 4.7, ['okay'], 1]}",6.06,4.7
He is happy that he won the $45 over the $25; but that large chunk of the wheel for $80 may make him disappointed.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.31,6.49
Relieved. He almost landed on the least amount; so getting the middle amount would be a relief.  However; when he started he was probably hoping for the highest amount since it occupied the biggest spot on the board; so there would be a little disappointment in that regard.,"{'inspired': [7.1, 5.78, ['hoping'], 1], 'fortunate': [7.09, 5.16, ['relieved', 'relief'], 2]}",7.1,5.78
he's kinda bummed; but still kinda happy.  he was going to walk away with something; so that was a plus.  losing out on 80 when the chances for getting it were kinda high; sucks and he's bummed about that.  but winning 45; which is just over half of 80; isn't too bad; and still 20 more than the lowest; so that makes him kinda happy.,"{'happy': [8.22, 6.49, ['happy'], 2], 'unfortunate': [4.25, 6.25, ['not very bad'], 1], 'sad': [2.39, 4.78, ['bummed'], 2]}",5.1,6.49
Bob still feels good because he won the middle amount available.,"{'happy': [7.47, 5.43, ['good'], 1]}",7.47,5.43
Frank is disappointed that he didn't win $80 because it takes up the largest percentage of the wheel.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
Frank is angry because he felt like the 80$ prize was in the bag. Still; he avoided the 25$ low prize. ,"{'angry': [2.85, 7.17, ['angry'], 1]}",2.85,7.17
he feels little bit appointment.,{},0,0
John is pretty happy. He won $45 which isn't a small amount.,"{'happy': [7.22, 5.49, ['a little happy'], 1]}",7.22,5.49
Pretty good.,"{'happy': [6.47, 4.43, ['a little good'], 1]}",6.47,4.43
He is feeling lucky. Still not winning the lowest prize. ,"{'fortunate': [8.17, 6.53, ['lucky'], 1]}",8.17,6.53
Not too bad for John. could be better. ,"{'unfortunate': [4.25, 6.25, ['not very bad'], 1]}",4.25,6.25
$45 is a good amount of money; so probably happy and relieved to not have got @25.,"{'fortunate': [7.09, 5.16, ['relieved'], 1], 'happy': [7.84, 5.96, ['good', 'happy'], 2]}",7.59,6.49
Charlie is pretty happy at winning the $45; he is smiling; laughing and is feeling lucky today. ,"{'fortunate': [8.17, 6.53, ['lucky'], 1], 'happy': [7.22, 5.49, ['a little happy'], 1]}",7.69,6.53
Split the difference! Can't complain!,{},0,0
He is disappointed he didnt win the most but satisfied he didnt win the least.,"{'content': [7.94, 4.95, ['satisfied'], 1], 'disappointed': [2.39, 4.92, ['disappointed'], 1]}",5.17,4.94
He feels good about winning $45; but wishes the wheel would have just inched its way over to $80.,"{'fortunate': [7.09, 5.16, ['wishes'], 1], 'happy': [7.47, 5.43, ['good'], 1]}",7.28,5.43
feels ok for getting the middle amount,"{'content': [6.06, 4.7, ['ok'], 1]}",6.06,4.7
He would feel ok with this because it was not the lowest payout and was the second largest section.,"{'content': [6.06, 4.7, ['ok'], 1]}",6.06,4.7
He felt ecstatic! He is very happy and excited.,"{'excited': [8.08, 7.3, ['ecstatic', 'excited'], 2], 'happy': [9.22, 7.49, ['very happy'], 1]}",8.46,7.67
He felt pretty awesome!  He got the top prize.,"{'great': [8.0, 5.0, ['a little awesome'], 1]}",8.0,5.0
James is pretty excited to win the $80 and is smiling.,"{'excited': [6.5, 6.67, ['a little excited'], 1]}",6.5,6.67
George is very happy to have won the largest prize.  Although; again; he sort of expected it because the section was bigger.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
He feels like it must be his lucky day!,"{'fortunate': [8.17, 6.53, ['lucky'], 1]}",8.17,6.53
